"Hong Kong Exchanges and Clearing Limited and/or its subsidiaries endeavour to ensure the"
"accuracy and reliability of the information provided, but do not guarantee its accuracy and"
"reliability and accept no liability (whether in tort or contract or otherwise) for any loss"
"or damage arising from any inaccuracies or omissions."


"STOCK OPTIONS DAILY MARKET REPORT AS AT 22 MAR 2019"


,,,"SUMMARY TRADING VOLUME",,,"SUMMARY OPEN INTEREST"
"HKATS CODE","UNDERLYING STOCK",,"TOTAL","CALLS","PUTS","TOTAL","CALLS","PUTS","IV%*"
SEP19,9.00,C,0.00,0.00,0.00,5.41,-0.02,24,0,1,0
SEP19,9.25,C,0.00,0.00,0.00,5.16,-0.02,21,0,0,0
SEP19,9.50,C,0.00,0.00,0.00,4.91,-0.03,0,0,3,0
SEP19,9.75,C,0.00,0.00,0.00,4.67,-0.02,23,0,1,0
SEP19,10.00,C,0.00,0.00,0.00,4.42,-0.03,21,0,3,0
SEP19,10.50,C,0.00,0.00,0.00,3.94,-0.02,23,0,6,0
SEP19,11.00,C,0.00,0.00,0.00,3.47,-0.02,23,0,11,0
SEP19,11.50,C,0.00,0.00,0.00,3.01,-0.02,23,0,51,0
SEP19,12.00,C,0.00,0.00,0.00,2.57,-0.03,22,0,137,0
SEP19,12.50,C,0.00,0.00,0.00,2.17,-0.02,23,0,107,0
SEP19,13.00,C,0.00,0.00,0.00,1.80,-0.02,23,0,43,0
SEP19,13.50,C,0.00,0.00,0.00,1.43,-0.02,22,0,49,0
SEP19,14.00,C,0.00,0.00,0.00,1.14,-0.02,22,0,83,0
SEP19,14.50,C,0.88,0.89,0.88,0.90,-0.02,22,90,211,+44
SEP19,15.00,C,0.00,0.00,0.00,0.70,-0.02,22,0,18,0
SEP19,15.50,C,0.00,0.00,0.00,0.55,-0.01,23,0,543,0
SEP19,16.00,C,0.00,0.00,0.00,0.43,-0.01,23,0,4,0
SEP19,16.50,C,0.00,0.00,0.00,0.32,-0.01,23,0,30,0
SEP19,17.00,C,0.00,0.00,0.00,0.23,-0.01,23,0,46,0
SEP19,17.50,C,0.00,0.00,0.00,0.17,-0.01,23,0,1,0
SEP19,18.00,C,0.00,0.00,0.00,0.12,-0.01,23,0,90,0
SEP19,18.50,C,0.00,0.00,0.00,0.09,0.00,23,0,0,0
SEP19,19.00,C,0.00,0.00,0.00,0.06,-0.01,23,0,0,0
SEP19,19.50,C,0.00,0.00,0.00,0.04,-0.01,23,0,3,0
SEP19,20.00,C,0.00,0.00,0.00,0.03,0.00,23,0,0,0
SEP19,21.00,C,0.00,0.00,0.00,0.02,0.00,24,0,0,0
DEC19,7.50,C,0.00,0.00,0.00,6.92,-0.02,23,0,0,0
DEC19,7.75,C,0.00,0.00,0.00,6.67,-0.02,0,0,0,0
DEC19,8.00,C,0.00,0.00,0.00,6.43,-0.02,27,0,0,0
DEC19,8.25,C,0.00,0.00,0.00,6.18,-0.02,24,0,0,0
DEC19,8.50,C,0.00,0.00,0.00,5.93,-0.02,0,0,0,0
DEC19,8.75,C,0.00,0.00,0.00,5.69,-0.02,24,0,0,0
DEC19,9.00,C,0.00,0.00,0.00,5.44,-0.02,22,0,0,0
DEC19,9.25,C,0.00,0.00,0.00,5.20,-0.02,23,0,0,0
DEC19,9.50,C,0.00,0.00,0.00,4.95,-0.02,21,0,1,0
DEC19,9.75,C,0.00,0.00,0.00,4.71,-0.02,22,0,0,0
DEC19,10.00,C,0.00,0.00,0.00,4.47,-0.03,22,0,4,0
DEC19,10.50,C,0.00,0.00,0.00,4.01,-0.02,23,0,9,0
DEC19,11.00,C,0.00,0.00,0.00,3.55,-0.02,23,0,1,0
DEC19,11.50,C,0.00,0.00,0.00,3.12,-0.02,23,0,19,0
DEC19,12.00,C,0.00,0.00,0.00,2.71,-0.02,23,0,111,0
DEC19,12.50,C,0.00,0.00,0.00,2.33,-0.02,23,0,21,0
DEC19,13.00,C,0.00,0.00,0.00,1.98,-0.02,23,0,13,0
DEC19,13.50,C,0.00,0.00,0.00,1.61,-0.02,21,0,34,0
DEC19,14.00,C,1.32,1.32,1.32,1.35,-0.01,22,44,84,+44
DEC19,14.50,C,1.08,1.08,1.08,1.11,-0.01,22,30,141,+30
DEC19,15.00,C,0.00,0.00,0.00,0.90,-0.02,22,0,1072,0
DEC19,15.50,C,0.00,0.00,0.00,0.73,-0.01,22,0,0,0
DEC19,16.00,C,0.00,0.00,0.00,0.59,-0.01,22,0,41,0
DEC19,16.50,C,0.00,0.00,0.00,0.49,0.00,23,0,100,0
DEC19,17.00,C,0.00,0.00,0.00,0.39,-0.01,23,0,30,0
DEC19,17.50,C,0.00,0.00,0.00,0.30,-0.01,23,0,42,0
DEC19,18.00,C,0.00,0.00,0.00,0.24,0.00,23,0,906,0
DEC19,18.50,C,0.00,0.00,0.00,0.18,-0.01,23,0,6,0
DEC19,19.00,C,0.00,0.00,0.00,0.14,0.00,23,0,0,0
DEC19,19.50,C,0.00,0.00,0.00,0.11,0.00,23,0,0,0
DEC19,20.00,C,0.00,0.00,0.00,0.08,-0.01,23,0,0,0
DEC19,21.00,C,0.00,0.00,0.00,0.05,0.00,23,0,12,0
